airplane	baseball field	bridge	chimney	dam	expressway service area	expressway toll station	golf field	harbor	overpass	ship	stadium	storage tank	tennis court	train station	vehicle	airport	basketball court	ground track field	windmill
1.000000	0.443633	0.554264	0.541072	0.508368	0.563090	0.586410	0.418758	0.496350	0.498335	0.664206	0.547091	0.355463	0.483695	0.420242	0.632746	0.612018	0.427245	0.461480	0.612669
0.443633	1.000000	0.453431	0.384062	0.389198	0.645724	0.544784	0.936077	0.648171	0.442744	0.464525	0.597506	0.485201	0.907420	0.569295	0.457967	0.585507	0.789742	0.819352	0.424357
0.554264	0.453431	1.000000	0.559693	0.883950	0.762041	0.842878	0.462770	0.701981	0.888020	0.665534	0.747284	0.420535	0.524328	0.689771	0.557976	0.798486	0.539529	0.549198	0.735460
0.541072	0.384062	0.559693	1.000000	0.663634	0.430578	0.535532	0.392483	0.524454	0.476177	0.636163	0.618004	0.566395	0.373179	0.475268	0.524140	0.595174	0.390406	0.399417	0.681731
0.508368	0.389198	0.883950	0.663634	1.000000	0.651588	0.796557	0.437366	0.717549	0.748207	0.638917	0.766111	0.465640	0.451456	0.667429	0.537547	0.781289	0.488222	0.480623	0.756195
0.563090	0.645724	0.762041	0.430578	0.651588	1.000000	0.889533	0.607920	0.759784	0.781535	0.581922	0.663522	0.476980	0.765260	0.734131	0.577193	0.774822	0.771728	0.732540	0.538114
0.586410	0.544784	0.842878	0.535532	0.796557	0.889533	1.000000	0.551158	0.722001	0.856823	0.597790	0.782932	0.494551	0.630899	0.843141	0.577381	0.850887	0.667739	0.608977	0.678327
0.418758	0.936077	0.462770	0.392483	0.437366	0.607920	0.551158	1.000000	0.641268	0.436784	0.467021	0.615073	0.514061	0.843363	0.555379	0.487535	0.572201	0.716044	0.764056	0.505205
0.496350	0.648171	0.701981	0.524454	0.717549	0.759784	0.722001	0.641268	1.000000	0.595384	0.722808	0.719673	0.511478	0.702733	0.690078	0.626694	0.781754	0.722975	0.615748	0.600334
0.498335	0.442744	0.888020	0.476177	0.748207	0.781535	0.856823	0.436784	0.595384	1.000000	0.519797	0.753817	0.468197	0.506941	0.725153	0.542667	0.771345	0.544200	0.513330	0.570152
0.664206	0.464525	0.665534	0.636163	0.638917	0.581922	0.597790	0.467021	0.722808	0.519797	1.000000	0.615516	0.507131	0.516735	0.468343	0.589086	0.644696	0.502848	0.510395	0.634322
0.547091	0.597506	0.747284	0.618004	0.766111	0.663522	0.782932	0.615073	0.719673	0.753817	0.615516	1.000000	0.535995	0.605432	0.802885	0.596936	0.872489	0.615132	0.551744	0.676794
0.355463	0.485201	0.420535	0.566395	0.465640	0.476980	0.494551	0.514061	0.511478	0.468197	0.507131	0.535995	1.000000	0.446571	0.419604	0.642111	0.466281	0.405861	0.429616	0.451130
0.483695	0.907420	0.524328	0.373179	0.451456	0.765260	0.630899	0.843363	0.702733	0.506941	0.516735	0.605432	0.446571	1.000000	0.610925	0.431720	0.646805	0.922008	0.852824	0.493120
0.420242	0.569295	0.689771	0.475268	0.667429	0.734131	0.843141	0.555379	0.690078	0.725153	0.468343	0.802885	0.419604	0.610925	1.000000	0.494470	0.897892	0.614271	0.563956	0.548816
0.632746	0.457967	0.557976	0.524140	0.537547	0.577193	0.577381	0.487535	0.626694	0.542667	0.589086	0.596936	0.642111	0.431720	0.494470	1.000000	0.611143	0.356843	0.384629	0.518115
0.612018	0.585507	0.798486	0.595174	0.781289	0.774822	0.850887	0.572201	0.781754	0.771345	0.644696	0.872489	0.466281	0.646805	0.897892	0.611143	1.000000	0.612135	0.619141	0.650755
0.427245	0.789742	0.539529	0.390406	0.488222	0.771728	0.667739	0.716044	0.722975	0.544200	0.502848	0.615132	0.405861	0.922008	0.614271	0.356843	0.612135	1.000000	0.731944	0.489327
0.461480	0.819352	0.549198	0.399417	0.480623	0.732540	0.608977	0.764056	0.615748	0.513330	0.510395	0.551744	0.429616	0.852824	0.563956	0.384629	0.619141	0.731944	1.000000	0.491553
0.612669	0.424357	0.735460	0.681731	0.756195	0.538114	0.678327	0.505205	0.600334	0.570152	0.634322	0.676794	0.451130	0.493120	0.548816	0.518115	0.650755	0.489327	0.491553	1.000000
