plane	ship	storage tank	baseball diamond	basketball court	ground track field	harbor	bridge	large vehicle	small vehicle	roundabout	tennis court	helicopter	soccer ball field	swimming pool
1.000000	0.624168	0.464573	0.422244	0.310971	0.481937	0.527597	0.530850	0.647315	0.575786	0.458574	0.428656	0.722692	0.340567	0.388428
0.624168	1.000000	0.507131	0.480411	0.502848	0.510395	0.722808	0.665534	0.698593	0.532830	0.463634	0.516735	0.686837	0.485004	0.524845
0.464573	0.507131	1.000000	0.431973	0.405861	0.429616	0.511478	0.420535	0.689812	0.656081	0.488788	0.446571	0.396814	0.548518	0.660700
0.422244	0.480411	0.431973	1.000000	0.876037	0.814470	0.675301	0.444828	0.506874	0.488821	0.543901	0.930952	0.402091	0.814076	0.579964
0.310971	0.502848	0.405861	0.876037	1.000000	0.731944	0.722975	0.539529	0.452542	0.395041	0.533479	0.922008	0.390695	0.735512	0.653845
0.481937	0.510395	0.429616	0.814470	0.731944	1.000000	0.615748	0.549198	0.568913	0.472533	0.550629	0.852824	0.438565	0.687607	0.607877
0.527597	0.722808	0.511478	0.675301	0.722975	0.615748	1.000000	0.701981	0.609456	0.561476	0.689821	0.702733	0.525022	0.602796	0.694705
0.530850	0.665534	0.420535	0.444828	0.539529	0.549198	0.701981	1.000000	0.651648	0.448586	0.489910	0.524328	0.552046	0.361938	0.559046
0.647315	0.698593	0.689812	0.506874	0.452542	0.568913	0.609456	0.651648	1.000000	0.872932	0.468268	0.518152	0.711480	0.535917	0.561559
0.575786	0.532830	0.656081	0.488821	0.395041	0.472533	0.561476	0.448586	0.872932	1.000000	0.475839	0.480332	0.612935	0.536929	0.514284
0.458574	0.463634	0.488788	0.543901	0.533479	0.550629	0.689821	0.489910	0.468268	0.475839	1.000000	0.553375	0.371267	0.565756	0.587846
0.428656	0.516735	0.446571	0.930952	0.922008	0.852824	0.702733	0.524328	0.518152	0.480332	0.553375	1.000000	0.422304	0.778926	0.676514
0.722692	0.686837	0.396814	0.402091	0.390695	0.438565	0.525022	0.552046	0.711480	0.612935	0.371267	0.422304	1.000000	0.441507	0.385359
0.340567	0.485004	0.548518	0.814076	0.735512	0.687607	0.602796	0.361938	0.535917	0.536929	0.565756	0.778926	0.441507	1.000000	0.648965
0.388428	0.524845	0.660700	0.579964	0.653845	0.607877	0.694705	0.559046	0.561559	0.514284	0.587846	0.676514	0.385359	0.648965	1.000000
