airplane	baseball field	bridge	chimney	dam	expressway service area	expressway toll station	golf field	harbor	overpass	ship	stadium	storage tank	tennis court	train station	vehicle	airport	basketball court	ground track field	windmill
1.00	0.41	0.53	0.32	0.32	0.36	0.50	0.27	0.48	0.44	0.53	0.24	0.46	0.40	0.29	0.49	0.41	0.44	0.35	0.59
0.41	1.00	0.60	0.38	0.51	0.56	0.54	0.53	0.47	0.54	0.45	0.57	0.46	0.49	0.49	0.42	0.57	0.57	0.70	0.47
0.53	0.60	1.00	0.42	0.65	0.68	0.86	0.49	0.64	0.87	0.71	0.45	0.64	0.54	0.57	0.72	0.58	0.48	0.62	0.65
0.32	0.38	0.42	1.00	0.49	0.47	0.40	0.38	0.36	0.39	0.28	0.37	0.34	0.23	0.51	0.23	0.42	0.29	0.40	0.30
0.32	0.51	0.65	0.49	1.00	0.77	0.50	0.72	0.61	0.63	0.29	0.53	0.23	0.32	0.64	0.22	0.73	0.39	0.61	0.31
0.36	0.56	0.68	0.47	0.77	1.00	0.56	0.77	0.56	0.80	0.29	0.63	0.24	0.36	0.84	0.26	0.89	0.47	0.72	0.29
0.50	0.54	0.86	0.40	0.50	0.56	1.00	0.35	0.57	0.69	0.76	0.43	0.69	0.58	0.52	0.80	0.46	0.47	0.61	0.62
0.27	0.53	0.49	0.38	0.72	0.77	0.35	1.00	0.48	0.53	0.21	0.53	0.16	0.30	0.63	0.14	0.82	0.40	0.61	0.23
0.48	0.47	0.64	0.36	0.61	0.56	0.57	0.48	1.00	0.57	0.59	0.43	0.36	0.42	0.54	0.42	0.52	0.44	0.52	0.40
0.44	0.54	0.87	0.39	0.63	0.80	0.69	0.53	0.57	1.00	0.48	0.49	0.42	0.44	0.67	0.48	0.67	0.46	0.62	0.45
0.53	0.45	0.71	0.28	0.29	0.29	0.76	0.21	0.59	0.48	1.00	0.25	0.75	0.48	0.25	0.89	0.23	0.37	0.40	0.65
0.24	0.57	0.45	0.37	0.53	0.63	0.43	0.53	0.43	0.49	0.25	1.00	0.20	0.43	0.72	0.20	0.57	0.58	0.90	0.17
0.46	0.46	0.64	0.34	0.23	0.24	0.69	0.16	0.36	0.42	0.75	0.20	1.00	0.41	0.20	0.79	0.18	0.30	0.33	0.67
0.40	0.49	0.54	0.23	0.32	0.36	0.58	0.30	0.42	0.44	0.48	0.43	0.41	1.00	0.38	0.46	0.37	0.76	0.57	0.36
0.29	0.49	0.57	0.51	0.64	0.84	0.52	0.63	0.54	0.67	0.25	0.72	0.20	0.38	1.00	0.21	0.75	0.46	0.73	0.20
0.49	0.42	0.72	0.23	0.22	0.26	0.80	0.14	0.42	0.48	0.89	0.20	0.79	0.46	0.21	1.00	0.19	0.32	0.36	0.67
0.41	0.57	0.58	0.42	0.73	0.89	0.46	0.82	0.52	0.67	0.23	0.57	0.18	0.37	0.75	0.19	1.00	0.49	0.67	0.28
0.44	0.57	0.48	0.29	0.39	0.47	0.47	0.40	0.44	0.46	0.37	0.58	0.30	0.76	0.46	0.32	0.49	1.00	0.68	0.32
0.35	0.70	0.62	0.40	0.61	0.72	0.61	0.61	0.52	0.62	0.40	0.90	0.33	0.57	0.73	0.36	0.67	0.68	1.00	0.30
0.59	0.47	0.65	0.30	0.31	0.29	0.62	0.23	0.40	0.45	0.65	0.17	0.67	0.36	0.20	0.67	0.28	0.32	0.30	1.00
