plane	ship	storage tank	baseball diamond	basketball court	ground track field	harbor	bridge	large vehicle	small vehicle	roundabout	tennis court	helicopter	soccer ball field	swimming pool
1.00	0.48	0.38	0.44	0.43	0.38	0.52	0.47	0.45	0.40	0.38	0.36	0.67	0.38	0.43
0.48	1.00	0.62	0.53	0.45	0.37	0.73	0.66	0.72	0.75	0.52	0.34	0.54	0.41	0.66
0.38	0.62	1.00	0.64	0.43	0.31	0.52	0.72	0.63	0.72	0.76	0.29	0.49	0.40	0.62
0.44	0.53	0.64	1.00	0.66	0.65	0.63	0.73	0.57	0.55	0.74	0.47	0.57	0.66	0.67
0.43	0.45	0.43	0.66	1.00	0.75	0.56	0.60	0.55	0.46	0.51	0.75	0.51	0.85	0.60
0.38	0.37	0.31	0.65	0.75	1.00	0.57	0.55	0.47	0.35	0.50	0.57	0.41	0.91	0.57
0.52	0.73	0.52	0.63	0.56	0.57	1.00	0.70	0.70	0.60	0.54	0.43	0.57	0.55	0.72
0.47	0.66	0.72	0.73	0.60	0.55	0.70	1.00	0.74	0.75	0.74	0.43	0.55	0.59	0.75
0.45	0.72	0.63	0.57	0.55	0.47	0.70	0.74	1.00	0.86	0.57	0.41	0.51	0.51	0.71
0.40	0.75	0.72	0.55	0.46	0.35	0.60	0.75	0.86	1.00	0.59	0.31	0.49	0.43	0.72
0.38	0.52	0.76	0.74	0.51	0.50	0.54	0.74	0.57	0.59	1.00	0.34	0.49	0.51	0.61
0.36	0.34	0.29	0.47	0.75	0.57	0.43	0.43	0.41	0.31	0.34	1.00	0.36	0.68	0.43
0.67	0.54	0.49	0.57	0.51	0.41	0.57	0.55	0.51	0.49	0.49	0.36	1.00	0.42	0.53
0.38	0.41	0.40	0.66	0.85	0.91	0.55	0.59	0.51	0.43	0.51	0.68	0.42	1.00	0.59
0.43	0.66	0.62	0.67	0.60	0.57	0.72	0.75	0.71	0.72	0.61	0.43	0.53	0.59	1.00
