fixed wing aircraft	helicopter	small car	bus	truck	locomotive	motorboat	tugboat	container ship	oil tanker	tower crane	straddle carrier	excavator	building	aircraft hangar	storage tank	passenger plane or cargo plane	sailboat	ferry	dump truck
1.00	0.78	0.49	0.55	0.60	0.63	0.55	0.63	0.47	0.42	0.61	0.50	0.65	0.64	0.59	0.63	0.65	0.58	0.64	0.61
0.78	1.00	0.54	0.59	0.66	0.68	0.60	0.66	0.46	0.40	0.66	0.54	0.71	0.68	0.58	0.69	0.46	0.62	0.66	0.66
0.49	0.54	1.00	0.90	0.90	0.75	0.89	0.62	0.36	0.26	0.44	0.38	0.74	0.69	0.35	0.70	0.21	0.85	0.65	0.82
0.55	0.59	0.90	1.00	0.96	0.84	0.86	0.70	0.43	0.31	0.53	0.47	0.80	0.80	0.46	0.76	0.23	0.82	0.74	0.93
0.60	0.66	0.90	0.96	1.00	0.91	0.88	0.74	0.45	0.33	0.59	0.50	0.88	0.86	0.50	0.81	0.24	0.85	0.77	0.98
0.63	0.68	0.75	0.84	0.91	1.00	0.76	0.77	0.51	0.38	0.68	0.59	0.84	0.90	0.60	0.79	0.27	0.76	0.79	0.90
0.55	0.60	0.89	0.86	0.88	0.76	1.00	0.75	0.46	0.37	0.50	0.44	0.79	0.75	0.40	0.76	0.24	0.97	0.77	0.83
0.63	0.66	0.62	0.70	0.74	0.77	0.75	1.00	0.78	0.74	0.72	0.67	0.71	0.80	0.64	0.74	0.37	0.76	0.95	0.74
0.47	0.46	0.36	0.43	0.45	0.51	0.46	0.78	1.00	0.89	0.67	0.70	0.45	0.57	0.65	0.56	0.37	0.46	0.79	0.46
0.42	0.40	0.26	0.31	0.33	0.38	0.37	0.74	0.89	1.00	0.65	0.62	0.35	0.46	0.60	0.47	0.37	0.39	0.74	0.33
0.61	0.66	0.44	0.53	0.59	0.68	0.50	0.72	0.67	0.65	1.00	0.79	0.63	0.78	0.83	0.73	0.42	0.51	0.73	0.60
0.50	0.54	0.38	0.47	0.50	0.59	0.44	0.67	0.70	0.62	0.79	1.00	0.50	0.68	0.74	0.61	0.41	0.45	0.69	0.51
0.65	0.71	0.74	0.80	0.88	0.84	0.79	0.71	0.45	0.35	0.63	0.50	1.00	0.80	0.47	0.80	0.26	0.79	0.70	0.91
0.64	0.68	0.69	0.80	0.86	0.90	0.75	0.80	0.57	0.46	0.78	0.68	0.80	1.00	0.76	0.82	0.31	0.74	0.81	0.86
0.59	0.58	0.35	0.46	0.50	0.60	0.40	0.64	0.65	0.60	0.83	0.74	0.47	0.76	1.00	0.64	0.47	0.40	0.68	0.49
0.63	0.69	0.70	0.76	0.81	0.79	0.76	0.74	0.56	0.47	0.73	0.61	0.80	0.82	0.64	1.00	0.34	0.76	0.76	0.80
0.65	0.46	0.21	0.23	0.24	0.27	0.24	0.37	0.37	0.37	0.42	0.41	0.26	0.31	0.47	0.34	1.00	0.25	0.39	0.23
0.58	0.62	0.85	0.82	0.85	0.76	0.97	0.76	0.46	0.39	0.51	0.45	0.79	0.74	0.40	0.76	0.25	1.00	0.77	0.81
0.64	0.66	0.65	0.74	0.77	0.79	0.77	0.95	0.79	0.74	0.73	0.69	0.70	0.81	0.68	0.76	0.39	0.77	1.00	0.75
0.61	0.66	0.82	0.93	0.98	0.90	0.83	0.74	0.46	0.33	0.60	0.51	0.91	0.86	0.49	0.80	0.23	0.81	0.75	1.00
